FIPS,insurance,cancer,UrbanIntense,NoInternet,UNEMP,singleparent,LimEnglish,Housing_T,NDVI,VacantH,asthma,X,Y
1001,14.3,6.5,0.002,0.19,0.2745,0.3792,0.5113,0.3741,0.299989474,0.094,10.2,-86.64274924,32.53492019
1003,13.6,6.7,0.004,0.168,0.3121,0.1391,0.3582,0.3359,0.395696129,0.298,9.6,-87.74984008,30.66096966
1005,21.8,6.1,0.001,0.341,0.9217,0.9468,0.7052,0.9889,0.261370652,0.23,11.7,-85.39319698,31.86960324
1007,17.3,6.4,0.001,0.292,0.7895,0.1706,0.227,0.7189,0.131617857,0.253,10.3,-87.1264391,32.9986443
1009,17,6.6,0.002,0.273,0.2611,0.2961,0.717,0.1741,0.503626563,0.15,10.2,-86.56737096,33.98086739
1011,22.7,5.8,0,0.319,0.9599,0.9955,0.297,0.765,0.408380952,0.203,11.8,-85.71569723,32.10055422
1013,18.6,6.3,0.001,0.336,0.6968,0.8185,0.3582,0.6259,0.188806667,0.331,11.6,-86.68028922,31.75243394
1015,15.9,6.6,0.007,0.219,0.885,0.8077,0.5791,0.6492,0.342553571,0.161,11.2,-85.82603085,33.77143246
1017,17.8,6.3,0.002,0.308,0.4166,0.7316,0.0707,0.7943,0.440224138,0.204,11.2,-85.39204295,32.91437223
1019,16.3,6.6,0.001,0.26,0.5172,0.0665,0.297,0.2741,0.552455556,0.358,10.5,-85.60379372,34.17595597
1021,18.2,6.5,0.001,0.328,0.7481,0.7994,0.7491,0.3636,0.306077778,0.145,10.7,-86.71881367,32.84785321
1023,18.2,6.3,0.001,0.358,0.9516,0.5938,0.297,0.5775,0.072262921,0.272,11.5,-88.26320127,32.01961078
1025,19.1,6.2,0.001,0.414,0.9831,0.4518,0.0707,0.7345,0.261415079,0.266,11.5,-87.83080985,31.67665958
1027,17.7,6.5,0,0.288,0.6545,0.7316,0.297,0.1579,0.478063333,0.23,11.1,-85.86054708,33.26908587
1029,16.6,6.6,0.001,0.339,0.7895,0.1251,0.4642,0.1,0.313027586,0.159,10.5,-85.518768,33.67455772
1031,15.1,6.6,0.002,0.191,0.5669,0.7316,0.6718,0.1923,0.236269841,0.143,10.2,-85.98820693,31.40262718
1033,15.6,6.5,0.005,0.258,0.5669,0.5053,0.227,0.1025,0.482415625,0.176,10.5,-87.80498529,34.7004338
1035,20.3,6.2,0,0.49,0.9637,0.8462,0,0.213,0.236544186,0.36,11.8,-86.99367421,31.42927154
1037,18.1,6.4,0,0.32,0.5481,0.0853,0.297,0.2913,0.638358209,0.374,11.1,-86.24765926,32.93622683
1039,15.8,6.5,0.001,0.281,0.8803,0.6399,0.297,0.4702,0.134809278,0.206,10.9,-86.45124254,31.2484924
1041,17.4,6.4,0,0.359,0.5481,0.6234,0.631,0.2353,0.205277193,0.26,11,-86.3135389,31.73150018
1043,16.3,6.6,0.004,0.253,0.5006,0.2537,0.4187,0.3945,0.628041333,0.184,10.4,-86.86761946,34.13194107
1045,16.3,6.5,0.004,0.211,0.885,0.5053,0.5791,0.455,0.236769643,0.191,10.4,-85.61103682,31.43182707
1047,20.2,6.1,0.002,0.329,0.9672,0.9647,0.0707,0.8392,0.423634,0.197,12.4,-87.10647633,32.32597371
1049,20.4,6.7,0.003,0.291,0.3299,0.6972,0.8685,0.4779,0.41779,0.169,11,-85.80414264,34.45977296
1051,14.4,6.6,0.002,0.171,0.6207,0.6702,0.4642,0.5177,0.566210938,0.143,10.4,-86.14914653,32.59664805
1053,18.8,6.4,0.001,0.401,0.9787,0.5597,0.3582,0.5839,0.177437079,0.191,11.2,-87.16161987,31.12612255
1055,16.1,6.5,0.008,0.217,0.6697,0.6234,0.631,0.2904,0.274874074,0.187,10.7,-86.03476232,34.0452544
1057,16.7,6.6,0.001,0.288,0.7347,0.3435,0,0.5454,0.14643871,0.18,10.9,-87.73886197,33.72120615
1059,20.3,6.5,0.002,0.356,0.6032,0.5938,0.9195,0.5275,0.4417,0.208,10.4,-87.84381198,34.44167064
1061,17.9,6.6,0.001,0.276,0.8729,0.6972,0.4187,0.2716,0.155489286,0.179,11,-85.8389849,31.09501669
1063,23.4,5.9,0,0.526,0.9904,0.7679,0,0.9554,0.263753125,0.418,13.1,-87.95223092,32.85313884
1065,19.2,6.1,0.001,0.408,0.9688,0.83,0.0707,0.9347,0.252544118,0.272,12.1,-87.62911768,32.76266422
1067,16.9,6.5,0.001,0.251,0.6968,0.3123,0.227,0.2713,0.178820755,0.267,10.8,-85.24140634,31.51469442
1069,16.2,6.6,0.008,0.258,0.7347,0.8077,0.4187,0.3502,0.184936364,0.168,10.9,-85.30252738,31.15318797
1071,16.8,6.7,0.002,0.282,0.5669,0.3613,0.297,0.3231,0.406802564,0.178,10.9,-85.99930054,34.779416
1073,14.5,6.2,0.022,0.191,0.7726,0.8077,0.631,0.6211,0.43869469,0.151,10,-86.89639824,33.55433851
1075,16.8,6.5,0.001,0.335,0.8341,0.1102,0,0.3251,0.415851786,0.192,10.9,-88.09689886,33.7792058
1077,14.4,6.7,0.003,0.254,0.4691,0.3961,0.4187,0.5622,0.496527778,0.14,10.2,-87.65399801,34.90137238
1079,16.9,6.6,0.002,0.329,0.5344,0.3435,0.1477,0.2028,0.578067532,0.167,11.2,-87.31104451,34.52165202
1081,13.8,6.5,0.008,0.146,0.5344,0.7771,0.631,0.9214,0.539443284,0.128,9.8,-85.3555627,32.60113648
1083,14.9,6.5,0.004,0.18,0.7232,0.3961,0.5791,0.4521,0.455923333,0.109,10.1,-86.98137477,34.81007832
1085,21.3,6,0,0.463,0.9637,0.979,0.0707,0.4954,0.188132895,0.194,12.7,-86.6501077,32.15475001
1087,18.6,5.9,0.001,0.35,0.971,0.8185,0,0.915,0.514860714,0.257,12.4,-85.69266866,32.3859737
1089,12.8,6.7,0.014,0.129,0.5481,0.49,0.6087,0.3836,0.391053488,0.088,9.6,-86.55020652,34.7630897
