"","LocationName","Data_Value"
"580035","17031040300",7.9
"580045","17031020200",8.9
"580214","17031020601",9.6
"580247","17031062100",8
"580252","17031120400",8.6
"580255","17031242100",7.6
"580328","17031221300",8.5
"580361","17031081900",9.8
"580364","17031150800",8.9
"580372","17031160300",8.4
"580391","17031250800",12.8
"580416","17031251900",14.3
"580486","17031071200",8.1
"580540","17031100700",8.3
"580552","17031110300",9
"580627","17031240800",8.6
"580645","17031010503",10.9
"580647","17031200200",9.1
"580665","17031081500",7.6
"580719","17031020902",9.7
"580821","17031200300",9.5
"580875","17031071100",9
"580913","17031151200",8.8
"580947","17031062300",7.5
"580962","17031050900",8.1
"581073","17031210400",9
"581118","17031100300",8.4
"581121","17031061902",8
"581163","17031030102",8.7
"581179","17031160900",8.1
"581211","17031020801",9.2
"581292","17031030101",9.1
"581317","17031030604",8.8
"581421","17031010201",11
"581491","17031140500",8.5
"581519","17031010701",9.5
"581640","17031061000",8
"581712","17031050500",7.9
"581732","17031010502",10
"581779","17031130300",8.5
"581794","17031171000",9.2
"581797","17031031400",8.1
"581873","17031230500",10.7
"581908","17031210700",8.6
"582109","17031241000",9.4
"582136","17031221000",8.9
"582187","17031061901",8.1
"582198","17031071500",7.9
"582242","17031020702",9.3
"582252","17031243500",8.2
"582317","17031120200",8.2
"582333","17031010100",10.8
"582374","17031140602",8.8
"582499","17031221100",8.9
"582597","17031220701",7.7
"582822","17031171100",8.4
"582831","17031081201",8.1
"582867","17031190100",9.2
"582926","17031240300",7.6
"582930","17031020701",8.2
"582947","17031063000",7.6
"582948","17031062800",7.7
"583037","17031241100",8.6
"583039","17031051000",8
"583043","17031031501",10.1
"583068","17031231200",12.7
"583204","17031210601",8.5
"583333","17031151002",9.1
"583360","17031090100",8.5
"583425","17031200402",8.8
"583489","17031100500",8.7
"583514","17031243100",7.5
"583576","17031130200",7.9
"583587","17031020901",9.7
"583593","17031063100",7.7
"583713","17031150402",8.7
"583732","17031242500",8.4
"583737","17031190200",8.9
"583826","17031060800",7.6
"583830","17031140400",8.1
"584067","17031040202",9.1
"584086","17031191000",9.1
"584172","17031031200",9.9
"584189","17031191200",9.4
"584294","17031242700",9.8
"584336","17031140301",8.7
"584345","17031060500",8.8
"584464","17031231500",13.5
"584493","17031151100",9.4
"584512","17031063302",7.8
"584525","17031062200",7.6
"584552","17031062000",7.6
"584640","17031230100",9.3
"584672","17031090200",8.3
"584959","17031150501",8.7
"585007","17031060900",8.1
"585099","17031050300",8.3
"585144","17031221400",7.7
"585224","17031020302",9
"585231","17031150401",8.7
"585250","17031230300",9.2
"585270","17031130100",8.2
"585381","17031020100",9.4
"585414","17031251100",14.6
"585457","17031170100",9.2
"585458","17031120100",8.2
"585487","17031080400",11.6
"585527","17031251600",14.3
"585529","17031160400",8.6
"585561","17031251400",12.4
"585736","17031100100",8.8
"585745","17031071700",8.2
"585770","17031200401",10
"585800","17031020400",9.1
"585828","17031220602",8.5
"585851","17031051100",7.9
"585870","17031063400",7.8
"585975","17031061500",7.9
"586026","17031221500",7.9
"586091","17031250500",9.6
"586094","17031251700",12.2
"586140","17031040900",8
"586179","17031242300",7.6
"586235","17031110501",8.4
"586269","17031231100",12.1
"586323","17031220702",8.7
"586357","17031081402",7.6
"586477","17031020500",9.9
"586481","17031190601",8.5
"586512","17031030701",9.4
"586573","17031081300",7.9
"586671","17031061200",7.7
"586675","17031051200",7.8
"586725","17031250600",12.4
"586811","17031241600",7.9
"586908","17031050100",8
"586964","17031110400",8.6
"587038","17031031000",8.2
"587078","17031020301",8.5
"587114","17031051400",8
"587143","17031010600",9.6
"587208","17031191301",9.1
"587225","17031062700",7.7
"587239","17031100600",8.7
"587240","17031100200",8.8
"587256","17031190602",8.9
"587278","17031010300",9.7
"587295","17031070101",8.2
"587304","17031243300",8
"587315","17031170200",8.8
"587334","17031080202",8.1
"587403","17031210602",8.4
"587444","17031030702",7.7
"587526","17031220601",8.2
"587611","17031161000",8.3
"587683","17031051300",7.6
"587728","17031222600",8
"587756","17031050200",8.2
"587805","17031061100",7.6
"587896","17031060400",7.8
"587907","17031040201",8.2
"587965","17031061800",8.4
"588020","17031252000",13.7
"588025","17031251500",14.6
"588074","17031190800",9.2
"588250","17031050800",7.7
"588488","17031020602",8.9
"588489","17031063301",8.4
"588506","17031200100",8.6
"588661","17031060200",8.5
"588682","17031242200",7.7
"588782","17031191100",9
"588803","17031010501",9.4
"588823","17031150200",8.9
"588874","17031230800",9
"588929","17031160501",8.5
"588960","17031222500",8.6
"589007","17031030500",8.1
"589009","17031161100",8.1
"589142","17031040100",8.3
"589144","17031160502",8.9
"589171","17031190701",9.7
"589175","17031030800",7.9
"589203","17031190300",9.3
"589232","17031222700",8.7
"589289","17031242800",8.2
"589295","17031030400",8.7
"589324","17031221200",8
"589485","17031081700",7.6
"589596","17031220901",9.5
"589610","17031150502",9.2
"589685","17031140702",8.7
"589799","17031210900",8.3
"589836","17031110502",8.7
"589911","17031240500",7.2
"589998","17031030703",9.5
"590002","17031220500",7.8
"590101","17031031700",9.2
"590154","17031161300",9.1
"590164","17031150600",8.8
"590183","17031243400",8
"590186","17031210502",9.4
"590315","17031070103",8.1
"590319","17031140302",8.1
"590354","17031070300",7.6
"590464","17031170300",8.9
"590502","17031040800",8.3
"590516","17031220300",8.2
"590562","17031062900",7.8
"590567","17031242400",8.5
"590593","17031251200",13.3
"590662","17031081202",7.9
"590719","17031060100",8
"590723","17031251800",14.9
"590725","17031150700",8.9
"590730","17031190702",9.8
"590858","17031071000",9.3
"590919","17031230900",9.7
"590950","17031240900",9.4
"590962","17031030900",8.1
"590995","17031071600",8.2
"591006","17031070500",7.8
"591031","17031062600",7.4
"591220","17031191302",9.3
"591227","17031250700",12.5
"591239","17031221600",7.7
"591261","17031040402",7.9
"591278","17031210800",7.9
"591279","17031160100",8.5
"591330","17031060300",7.7
"591372","17031031502",10.7
"591448","17031222800",9.2
"591607","17031110100",9
"591608","17031251300",13.5
"591615","17031030103",9.1
"591709","17031081100",8.4
"591712","17031220400",7.9
"591716","17031030706",8.3
"591718","17031031900",8.7
"591719","17031070200",7.9
"591749","17031071400",8.5
"591768","17031242600",8.6
"591836","17031050700",7.9
"591938","17031170900",9.4
"591973","17031140701",8
"592111","17031250200",11.2
"592153","17031081000",9.1
"592196","17031250300",12.7
"592200","17031160800",8.4
"592201","17031030104",10
"592237","17031160700",8.2
"592295","17031030603",8.9
"592316","17031040401",7.8
"592380","17031070600",7.7
"592393","17031020802",8.8
"592425","17031081600",7.5
"592467","17031230700",9.9
"592498","17031071300",7.9
"592512","17031241300",8.2
"592527","17031161200",8.4
"592603","17031110200",8.7
"592765","17031080201",7.9
"592794","17031230400",8.8
"592821","17031050600",7.8
"592852","17031010202",10.4
"592927","17031062500",7.8
"592932","17031210501",9.6
