OID_,GEOID,ALAND,AWATER,Shape__Are,Shape__Len,GEOID_2,FIPS,ZONE_CODE,AREA
0,17031842400,1968586.000000000000000,0.000000000000000,3535054.933590000029653,9223.658928740000192,17031842400.000000000000000,17031842400.000000000000000,1302,279076.000000000000000
1,17031843700,1204810.000000000000000,62134.000000000000000,2260004.800780000165105,7918.495830859999842,17031843700.000000000000000,17031843700.000000000000000,1314,185118.000000000000000
2,17031010502,180386.000000000000000,0.000000000000000,316240.757813000003807,2366.315678620000199,17031010502.000000000000000,17031010502.000000000000000,7,36335.000000000000000
3,17031020602,492027.000000000000000,0.000000000000000,891417.664063000003807,3816.199879939999846,17031020602.000000000000000,17031020602.000000000000000,19,124451.000000000000000
4,17031030701,69878.000000000000000,0.000000000000000,126523.148438000003807,1471.650623790000054,17031030701.000000000000000,17031030701.000000000000000,37,6409.000000000000000
5,17031031100,549967.000000000000000,0.000000000000000,995701.125000000000000,4013.116928299999927,17031031100.000000000000000,17031031100.000000000000000,44,109057.000000000000000
6,17031040300,752565.000000000000000,14886.000000000000000,1387015.238279999932274,5621.107831469999837,17031040300.000000000000000,17031040300.000000000000000,57,268566.000000000000000
7,17031050800,162818.000000000000000,0.000000000000000,294708.511719000001904,2171.520851149999999,17031050800.000000000000000,17031050800.000000000000000,70,42460.000000000000000
8,17031060400,325028.000000000000000,0.000000000000000,588151.089843999943696,3261.258741529999952,17031060400.000000000000000,17031060400.000000000000000,80,77811.000000000000000
9,17031062200,242322.000000000000000,0.000000000000000,440668.371094000001904,2683.556569330000002,17031062200.000000000000000,17031062200.000000000000000,93,44339.000000000000000
10,17031062900,325739.000000000000000,0.000000000000000,589173.906250000000000,3260.576789289999851,17031062900.000000000000000,17031062900.000000000000000,100,85216.000000000000000
11,17031070200,341404.000000000000000,0.000000000000000,619867.636718999943696,3405.353918429999794,17031070200.000000000000000,17031070200.000000000000000,111,67123.000000000000000
12,17031070400,324368.000000000000000,0.000000000000000,586264.660156000056304,3253.309457710000061,17031070400.000000000000000,17031070400.000000000000000,113,79003.000000000000000
13,17031071100,325455.000000000000000,0.000000000000000,588253.707031000056304,3257.960482959999808,17031071100.000000000000000,17031071100.000000000000000,118,92126.000000000000000
14,17031081000,298827.000000000000000,0.000000000000000,539536.007813000003807,3166.071911489999820,17031081000.000000000000000,17031081000.000000000000000,131,53559.000000000000000
15,17031081401,281787.000000000000000,0.000000000000000,496724.441405999998096,3024.320702550000078,17031081401.000000000000000,17031081401.000000000000000,136,24502.000000000000000
16,17031110100,1844323.000000000000000,0.000000000000000,3406595.011719999834895,11439.986731799999689,17031110100.000000000000000,17031110100.000000000000000,154,630805.000000000000000
17,17031140500,452819.000000000000000,0.000000000000000,815238.796875000000000,3862.477479709999898,17031140500.000000000000000,17031140500.000000000000000,172,94486.000000000000000
18,17031151001,330135.000000000000000,0.000000000000000,596925.855468999943696,3277.298701969999911,17031151001.000000000000000,17031151001.000000000000000,187,61398.000000000000000
19,17031161000,426501.000000000000000,0.000000000000000,771436.691406000056304,3595.808594220000032,17031161000.000000000000000,17031161000.000000000000000,202,118828.000000000000000
20,17031170700,579654.000000000000000,0.000000000000000,1043483.035159999970347,4109.610099059999811,17031170700.000000000000000,17031170700.000000000000000,212,109637.000000000000000
21,17031190402,653980.000000000000000,0.000000000000000,1182667.042970000067726,4350.398608780000359,17031190402.000000000000000,17031190402.000000000000000,222,103930.000000000000000
22,17031200200,818684.000000000000000,0.000000000000000,1481612.937500000000000,4967.949130490000243,17031200200.000000000000000,17031200200.000000000000000,235,142498.000000000000000
23,17031210700,497304.000000000000000,0.000000000000000,905956.195313000003807,3835.726495469999918,17031210700.000000000000000,17031210700.000000000000000,245,85475.000000000000000
24,17031221300,330103.000000000000000,0.000000000000000,596840.894531000056304,3280.476085029999922,17031221300.000000000000000,17031221300.000000000000000,260,71960.000000000000000
25,17031230100,166340.000000000000000,0.000000000000000,301275.902344000001904,2208.939170770000146,17031230100.000000000000000,17031230100.000000000000000,270,36950.000000000000000
26,17031240300,166476.000000000000000,0.000000000000000,302236.328125000000000,2212.669282710000061,17031240300.000000000000000,17031240300.000000000000000,283,30162.000000000000000
27,17031241200,328119.000000000000000,0.000000000000000,592969.078125000000000,3269.789079730000140,17031241200.000000000000000,17031241200.000000000000000,291,62750.000000000000000
28,17031241600,293931.000000000000000,0.000000000000000,518636.011719000001904,3061.139638889999787,17031241600.000000000000000,17031241600.000000000000000,295,21490.000000000000000
29,17031242500,309814.000000000000000,0.000000000000000,577743.167968999943696,3717.719640360000085,17031242500.000000000000000,17031242500.000000000000000,301,47646.000000000000000
30,17031243100,324004.000000000000000,0.000000000000000,585024.179688000003807,3238.710132730000169,17031243100.000000000000000,17031243100.000000000000000,307,36848.000000000000000
31,17031251000,466955.000000000000000,0.000000000000000,853693.835938000003807,3749.637958480000179,17031251000.000000000000000,17031251000.000000000000000,319,53742.000000000000000
32,17031251100,496455.000000000000000,0.000000000000000,896838.050781000056304,3828.048870019999868,17031251100.000000000000000,17031251100.000000000000000,320,117969.000000000000000
33,17031251500,683926.000000000000000,0.000000000000000,1236403.222659999970347,4483.785859450000316,17031251500.000000000000000,17031251500.000000000000000,324,219002.000000000000000
34,17031260100,325451.000000000000000,0.000000000000000,587722.195313000003807,3246.046182049999970,17031260100.000000000000000,17031260100.000000000000000,334,37789.000000000000000
35,17031271200,329809.000000000000000,0.000000000000000,594620.917968999943696,3271.065768280000157,17031271200.000000000000000,17031271200.000000000000000,345,50001.000000000000000
36,17031280800,237357.000000000000000,0.000000000000000,429454.566405999998096,2651.677855970000110,17031280800.000000000000000,17031280800.000000000000000,352,25950.000000000000000
37,17031300900,327299.000000000000000,0.000000000000000,589907.722656000056304,3252.566033630000220,17031300900.000000000000000,17031300900.000000000000000,370,52394.000000000000000
38,17031301803,351050.000000000000000,0.000000000000000,632632.218750000000000,3273.491611920000196,17031301803.000000000000000,17031301803.000000000000000,378,74035.000000000000000
39,17031350100,567877.000000000000000,518735.000000000000000,1051446.027340000029653,4255.821230239999750,17031350100.000000000000000,17031350100.000000000000000,396,104983.000000000000000
40,17031381400,316691.000000000000000,0.000000000000000,562373.726563000003807,3679.586560660000032,17031381400.000000000000000,17031381400.000000000000000,408,36055.000000000000000
41,17031390400,326306.000000000000000,0.000000000000000,587865.937500000000000,3255.707899349999934,17031390400.000000000000000,17031390400.000000000000000,416,78476.000000000000000
42,17031410800,249520.000000000000000,0.000000000000000,455678.117188000003807,2993.878219539999918,17031410800.000000000000000,17031410800.000000000000000,429,57098.000000000000000
43,17031421200,325748.000000000000000,0.000000000000000,586080.449218999943696,3686.684167649999836,17031421200.000000000000000,17031421200.000000000000000,442,62787.000000000000000
44,17031430900,336518.000000000000000,0.000000000000000,605243.242188000003807,3314.537309199999982,17031430900.000000000000000,17031430900.000000000000000,452,78776.000000000000000
45,17031440800,279123.000000000000000,0.000000000000000,503278.347655999998096,4559.034756019999804,17031440800.000000000000000,17031440800.000000000000000,464,59500.000000000000000
46,17031490700,639812.000000000000000,0.000000000000000,1150214.085939999902621,4304.795314930000131,17031490700.000000000000000,17031490700.000000000000000,486,155813.000000000000000
47,17031491000,1277977.000000000000000,0.000000000000000,2304404.058590000029653,6414.251434110000446,17031491000.000000000000000,17031491000.000000000000000,490,357403.000000000000000
48,17031500100,2652722.000000000000000,0.000000000000000,4749880.765630000270903,8575.422391930000231,17031500100.000000000000000,17031500100.000000000000000,495,410930.000000000000000
49,17031520300,958354.000000000000000,0.000000000000000,1719629.082029999932274,5887.614433280000412,17031520300.000000000000000,17031520300.000000000000000,503,166234.000000000000000
50,17031560300,653932.000000000000000,0.000000000000000,1177740.539060000097379,4339.449384090000422,17031560300.000000000000000,17031560300.000000000000000,521,121986.000000000000000
51,17031570200,1763889.000000000000000,0.000000000000000,3184321.695309999864548,7283.362657730000137,17031570200.000000000000000,17031570200.000000000000000,529,112033.000000000000000
52,17031580600,492790.000000000000000,0.000000000000000,887250.492188000003807,4341.324790659999962,17031580600.000000000000000,17031580600.000000000000000,539,77748.000000000000000
53,17031611200,327038.000000000000000,0.000000000000000,589278.210938000003807,3259.485417809999944,17031611200.000000000000000,17031611200.000000000000000,554,84882.000000000000000
54,17031620400,656281.000000000000000,0.000000000000000,1180733.925779999932274,4353.625904139999875,17031620400.000000000000000,17031620400.000000000000000,567,86405.000000000000000
55,17031640700,657092.000000000000000,0.000000000000000,1181755.546880000038072,5417.337760620000154,17031640700.000000000000000,17031640700.000000000000000,580,101161.000000000000000
56,17031660400,645646.000000000000000,0.000000000000000,1159861.148439999902621,4301.863492960000258,17031660400.000000000000000,17031660400.000000000000000,590,112396.000000000000000
57,17031670300,326330.000000000000000,0.000000000000000,587434.566406000056304,3255.266905490000227,17031670300.000000000000000,17031670300.000000000000000,600,103737.000000000000000
58,17031671800,324235.000000000000000,0.000000000000000,582600.480468999943696,3238.142479610000009,17031671800.000000000000000,17031671800.000000000000000,613,76209.000000000000000
59,17031690500,323161.000000000000000,0.000000000000000,581458.753906000056304,3685.978273390000140,17031690500.000000000000000,17031690500.000000000000000,626,33976.000000000000000
60,17031710500,748404.000000000000000,0.000000000000000,1350208.082029999932274,4917.058844559999670,17031710500.000000000000000,17031710500.000000000000000,646,104958.000000000000000
61,17031711300,350019.000000000000000,0.000000000000000,628674.281250000000000,3501.393120430000181,17031711300.000000000000000,17031711300.000000000000000,654,74863.000000000000000
62,17031730100,656951.000000000000000,0.000000000000000,1179448.117189999902621,4339.971495820000200,17031730100.000000000000000,17031730100.000000000000000,664,136178.000000000000000
63,17031740300,1320728.000000000000000,0.000000000000000,2369843.101559999864548,6524.797196509999594,17031740300.000000000000000,17031740300.000000000000000,674,277650.000000000000000
64,17031750300,661763.000000000000000,0.000000000000000,1187693.386720000067726,4359.046171300000424,17031750300.000000000000000,17031750300.000000000000000,678,227121.000000000000000
65,17031770400,5175588.000000000000000,18740.000000000000000,9422478.578129999339581,13014.296292000000903,17031770400.000000000000000,17031770400.000000000000000,688,973161.000000000000000
66,17031770902,1164799.000000000000000,0.000000000000000,2054703.582029999932274,8393.345538139999917,17031770902.000000000000000,17031770902.000000000000000,695,192155.000000000000000
67,17031801000,2533856.000000000000000,0.000000000000000,4613571.355469999834895,9909.715857630000755,17031801000.000000000000000,17031801000.000000000000000,705,1007990.000000000000000
68,17031801901,3911138.000000000000000,109657.000000000000000,7303979.386719999834895,12819.521954899999400,17031801901.000000000000000,17031801901.000000000000000,720,987110.000000000000000
69,17031802609,974026.000000000000000,0.000000000000000,1781152.535159999970347,6651.417172659999778,17031802609.000000000000000,17031802609.000000000000000,738,156400.000000000000000
